Date,Close,Open,High,Low,Volumn
2012-02-14,262.38,261.69,263.08,261.32,"128,315"
2012-02-15,265.88,263.76,266.13,263.69,"124,834"
2012-02-16,261.89,262.99,263.93,261.61,"108,158"
2012-02-17,265.82,265.9,266.84,265.01,"114,220"
2012-02-20,265.95,268.28,269.26,265.92,"93,696"
2012-02-21,265.89,265.41,266.89,263.5,"104,150"
2012-02-22,266.63,264.88,266.69,264.55,"99,176"
2012-02-23,263.58,264.78,264.78,262.72,"93,835"
2012-02-24,265.2,263.77,265.2,262.1,"87,389"
2012-02-27,261.3,264.21,264.33,260.76,"88,070"
2012-02-28,263.45,262.19,263.93,261.8,"104,865"
2012-02-29,267.13,265.06,267.68,265.03,"110,706"
2012-03-02,267.45,268.64,269.5,267.27,"101,553"
2012-03-05,264.75,266.56,266.9,264.12,"79,269"
2012-03-06,262.85,265.25,265.94,261.2,"89,749"
2012-03-07,260.35,258.65,261.17,258.32,"76,945"
2012-03-08,262.85,261.23,263.55,259.65,"101,648"
2012-03-09,265.62,265.27,266.33,263.18,"87,937"
2012-03-12,263.74,265.67,265.74,263.6,"82,962"
2012-03-13,266.9,265.1,267.74,265.1,"95,564"
2012-03-14,269.85,270.47,271.68,269.85,"106,299"
2012-03-15,269.76,269.81,270.61,269.05,"94,162"
2012-03-16,268.27,271.39,271.48,268.22,"95,676"
2012-03-19,270.27,269.01,270.61,268.58,"88,412"
2012-03-20,269.68,270.2,271.59,268.74,"91,829"
2012-03-21,267.79,268.14,269.46,266.9,"80,316"
2012-03-22,267.98,267.6,268.45,266.44,"83,235"
2012-03-23,267.95,266.36,268.44,266.15,"74,561"
2012-03-26,267.41,269.13,270.06,266.43,"73,543"
2012-03-27,270.71,270.62,270.87,268.97,"79,634"
2012-03-28,269.64,269.86,270.55,269.07,"74,425"
2012-03-29,267.13,267.87,268.72,266.15,"81,471"
2012-03-30,266.58,266.5,267.22,265.19,"84,296"
2012-04-02,268.99,267.72,269.36,266.8,"67,188"
2012-04-03,272.46,270.66,272.83,270.31,"89,677"
2012-04-04,268.33,272.13,272.48,267.98,"94,921"
2012-04-05,269.96,266.69,270.33,265.48,"84,364"
2012-04-06,269.97,269.54,270.41,268.96,"81,239"
2012-04-09,265.88,266.95,267.24,265.44,"76,048"
2012-04-10,265.38,266.48,267.81,264.83,"71,707"
2012-04-12,263.95,263.88,263.95,261.47,"73,627"
2012-04-13,266.86,265.95,267.27,265.11,"75,455"
2012-04-16,264.49,263.58,265.4,263.28,"57,339"
2012-04-17,263.32,264.72,265.43,263.02,"58,805"
2012-04-18,266.22,267.39,267.51,265.72,"66,986"
2012-04-19,265.58,265.6,266.86,264.74,"62,063"
2012-04-20,261.84,263.79,263.83,261.25,"66,066"
2012-04-23,261.66,261.31,262.8,260.34,"52,135"
2012-04-24,260.76,259.47,261.82,259.22,"66,407"
2012-04-25,260.82,263.24,263.24,260.72,"68,590"
2012-04-26,261.51,262.89,263.25,260.28,"73,179"
2012-04-27,263.43,262.7,264.48,262.3,"75,942"
2012-04-30,264.35,265.4,265.67,263.7,"83,132"
2012-05-02,266.61,266.1,267.01,265.35,"89,924"
2012-05-03,266.05,266.05,266.7,265.35,"69,298"
2012-05-04,264.4,264.72,265.41,263.72,"69,559"
2012-05-07,259.73,259.71,260.29,259.1,"68,579"
2012-05-08,261.12,261.28,261.62,260.35,"56,948"
2012-05-09,258.79,259.88,260.46,258.22,"71,958"
2012-05-10,257.89,258,259.01,256.94,"67,639"
2012-05-11,254,256.97,256.97,253.91,"66,778"
2012-05-14,254.11,254.07,255.02,252.3,"64,485"
2012-05-15,252.32,251.97,253.08,250.24,"87,799"
2012-05-16,243.93,250.63,250.88,243.79,"92,632"
2012-05-17,244.48,244.15,246.21,242.52,"113,902"
2012-05-18,235.85,240.12,240.14,235.46,"114,552"
2012-05-21,238.62,238.61,239.41,237.02,"73,315"
2012-05-22,242.66,242.38,243.04,240.58,"87,080"
2012-05-23,239.76,240.7,240.71,237.93,"71,289"
2012-05-24,240.51,239.44,240.72,238.43,"56,793"
2012-05-25,241.6,241.06,242.92,240.36,"58,905"
2012-05-29,245.26,241.14,245.67,240.49,"67,501"
2012-05-30,244.68,244.68,244.92,242.27,"71,993"
2012-05-31,244.05,241.17,244.05,240.16,"70,502"
2012-06-01,242.98,242.45,244.03,240.97,"53,505"
2012-06-04,236.3,235.91,237.51,235.37,"85,763"
2012-06-05,238.79,238.54,239.47,237.36,"60,182"
2012-06-07,245.51,244.1,246.16,244.1,"78,824"
2012-06-08,243.69,246.34,246.39,243.3,"55,108"
2012-06-11,248.3,247.3,248.55,247.12,"71,406"
2012-06-12,246.43,244.62,246.99,244.55,"55,954"
2012-06-13,247.08,248.14,248.14,245.64,"55,172"
2012-06-14,248.62,246.7,248.62,246.43,"78,574"
2012-06-15,246.57,248.52,248.54,245.09,"86,491"
2012-06-18,251.37,251.43,252.69,250.57,"77,067"
2012-06-19,251.31,250.5,251.7,250,"53,489"
